algoVariants,iterationsMean,hvMean,hvMedian,hvMax,hvMin,hvStdDev,contributionsUnionCumulativeApproxSets,bsr
CROSS_CRA_B,319,"0,226","0,257","0,415","0,000","0,144","0,000","0,000"
SC_CRA_B,289,"0,883","0,896","0,913","0,827","0,029","45,000","1,000"
