algoVariants,iterationsMean,hvMean,hvMedian,hvMax,hvMin,hvStdDev,contributionsUnionCumulativeApproxSets,bsr
SC_CRA_A,127,"0,936","0,937","0,937","0,916","0,004","5,000","1,000"
M100-C100_CRA_A,245,"0,874","0,904","0,937","0,704","0,079","5,000","1,000"
M100-C100-R_CRA_A,172,"0,903","0,893","0,925","0,889","0,017","4,000","0,800"
M100-C010-R_CRA_A,122,"0,937","0,937","0,937","0,931","0,002","5,000","1,000"
M100-C010_CRA_A,125,"0,937","0,937","0,937","0,936","0,000","5,000","1,000"
M090-C010-R_CRA_A,124,"0,778","0,914","0,916","0,229","0,289","5,000","1,000"
SC_CRA_B,289,"0,878","0,892","0,909","0,819","0,030","42,000","0,977"
GEN-M1-C1_CRA_B,426,"0,211","0,131","0,509","0,000","0,205","0,000","0,000"
CROSS-SC-M3_CRA_B,450,"0,338","0,312","0,584","0,112","0,153","12,000","0,279"
CROSS-SC-UC-M1_CRA_B,247,"0,182","0,239","0,292","0,000","0,117","0,000","0,000"
CROSS-SC-UC-M3_CRA_B,293,"0,218","0,189","0,381","0,076","0,116","0,000","0,000"
M100-C100_CRA_B,315,"0,287","0,346","0,513","0,040","0,163","0,000","0,000"
M100-C100-R_CRA_B,602,"0,632","0,644","0,709","0,507","0,068","0,000","0,000"
M100-C010-R_CRA_B,289,"0,881","0,876","0,914","0,850","0,024","40,000","0,930"
M100-C010_CRA_B,315,"0,866","0,865","0,908","0,810","0,029","38,000","0,884"
M090-C010-R_CRA_B,217,"0,619","0,666","0,736","0,114","0,187","21,000","0,488"
CROSS-SC-M100-C020_CRA_B,308,"0,892","0,895","0,911","0,863","0,017","39,000","0,907"
CROSS-SC-M100-C040_CRA_B,325,"0,887","0,897","0,912","0,848","0,024","35,000","0,814"
CROSS-SC-M100-C060_CRA_B,336,"0,877","0,884","0,906","0,837","0,023","31,000","0,721"
CROSS-SC-M100-C080_CRA_B,439,"0,849","0,856","0,902","0,786","0,040","12,000","0,279"
SC_CRA_C,578,"0,813","0,814","0,859","0,754","0,030","122,000","0,635"
GEN-M1-C1_CRA_C,254,"0,000","0,000","0,000","0,000","0,000","0,000","0,000"
CROSS-SC-M3_CRA_C,242,"0,000","0,000","0,000","0,000","0,000","0,000","0,000"
CROSS-SC-UC-M1_CRA_C,273,"0,000","0,000","0,000","0,000","0,000","0,000","0,000"
CROSS-SC-UC-M3_CRA_C,258,"0,000","0,000","0,000","0,000","0,000","0,000","0,000"
M100-C100_CRA_C,251,"0,000","0,000","0,000","0,000","0,000","0,000","0,000"
M100-C100-R_CRA_C,253,"0,033","0,029","0,067","0,000","0,020","0,000","0,000"
M100-C010-R_CRA_C,618,"0,834","0,834","0,869","0,809","0,017","36,000","0,188"
M100-C010_CRA_C,678,"0,804","0,792","0,867","0,780","0,030","29,000","0,151"
M090-C010-R_CRA_C,608,"0,652","0,663","0,773","0,543","0,081","9,000","0,047"
CROSS-SC-M100-C020_CRA_C,670,"0,813","0,817","0,847","0,773","0,026","12,000","0,063"
CROSS-SC-M100-C040_CRA_C,716,"0,808","0,806","0,850","0,737","0,033","7,000","0,036"
CROSS-SC-M100-C060_CRA_C,824,"0,775","0,779","0,805","0,718","0,026","3,000","0,016"
CROSS-SC-M100-C080_CRA_C,924,"0,703","0,702","0,787","0,607","0,057","0,000","0,000"
SC_CRA_D,993,"0,695","0,708","0,760","0,593","0,041","128,000","0,660"
M100-C100_CRA_D,288,"0,000","0,000","0,000","0,000","0,000","0,000","0,000"
M100-C100-R_CRA_D,226,"0,000","0,000","0,000","0,000","0,000","0,000","0,000"
M100-C010-R_CRA_D,1007,"0,688","0,697","0,758","0,616","0,048","41,000","0,211"
M100-C010_CRA_D,1066,"0,677","0,667","0,731","0,644","0,027","25,000","0,129"
