tools (comparison order: row x column),SC_CRA_B,GEN-M1-C1_CRA_B,CROSS-SC-M3_CRA_B,CROSS-SC-UC-M1_CRA_B,CROSS-SC-UC-M3_CRA_B,M100-C100_CRA_B,M100-C100-R_CRA_B,M100-C010-R_CRA_B,M100-C010_CRA_B,M090-C010-R_CRA_B,CROSS-SC-M100-C020_CRA_B,CROSS-SC-M100-C040_CRA_B,CROSS-SC-M100-C060_CRA_B,CROSS-SC-M100-C080_CRA_B
CROSS-SC-M100-C020_CRA_B Cohen D,Medium,Large,Large,Large,Large,Large,Large,Medium,Large,Large,0.0,Small,Medium,Large
CROSS-SC-M100-C020_CRA_B Cliff's delta,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.28,0.52,1.0,0.0,0.04,0.46,0.7
CROSS-SC-M100-C040_CRA_B P Value,0.3329058866604344,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.5967012167293564,0.09630369202868827,1.5705228423079642E-4,0.8798291600118298,1.0,0.25683925795785656,0.028365505605209895
CROSS-SC-M100-C040_CRA_B Cohen D,Small,Large,Large,Large,Large,Large,Large,Small,Large,Large,Small,0.0,Small,Large
CROSS-SC-M100-C040_CRA_B Cliff's delta,0.20666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.14,0.44,1.0,-0.04,0.0,0.3,0.58
CROSS-SC-M100-C060_CRA_B P Value,0.6619035604716124,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.4056788952850532,0.5453496680111235,1.5705228423079642E-4,0.08209870865427438,0.25683925795785656,1.0,0.11241058465536369
CROSS-SC-M100-C060_CRA_B Cohen D,0.035405444187961536,Large,Large,Large,Large,Large,Large,0.17663316421420322,Small,Large,Medium,Small,0.0,Large
CROSS-SC-M100-C060_CRA_B Cliff's delta,-0.09333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,-0.22,0.16,1.0,-0.46,-0.3,0.0,0.42
CROSS-SC-M100-C080_CRA_B P Value,0.024518720845428832,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.06964240479832817,0.3257513544787165,1.5705228423079642E-4,0.008150971593502754,0.028365505605209895,0.11241058465536369,1.0
CROSS-SC-M100-C080_CRA_B Cohen D,Medium,Large,Large,Large,Large,Large,Large,Large,Small,Large,Large,Large,Large,0.0
CROSS-SC-M100-C080_CRA_B Cliff's delta,-0.48,1.0,1.0,1.0,1.0,1.0,1.0,-0.48,-0.26,1.0,-0.7,-0.58,-0.42,0.0
