tools (comparison order: row x column),M100-C000_CRA_A,M100-C100_CRA_A,M100-C010-R_CRA_A,M100-C010_CRA_A
M100-C000_CRA_A P Value,1.0,0.008150971593502754,0.7054569861112734,0.7054569861112734
M100-C000_CRA_A Cohen D,NaN,Large,Small,Small
M100-C000_CRA_A Cliff's delta,0.0,0.7,0.1,0.1
M100-C100_CRA_A P Value,0.008150971593502754,1.0,0.017257456083119793,0.014019277113960005
M100-C100_CRA_A Cohen D,Large,0.0,Large,Large
M100-C100_CRA_A Cliff's delta,-0.7,0.0,-0.63,-0.65
M100-C010-R_CRA_A P Value,0.7054569861112734,0.017257456083119793,1.0,0.9698499769931556
M100-C010-R_CRA_A Cohen D,Small,Large,0.0,Small
M100-C010-R_CRA_A Cliff's delta,-0.1,0.63,0.0,-0.01
M100-C010_CRA_A P Value,0.7054569861112734,0.014019277113960005,0.9698499769931556,1.0
M100-C010_CRA_A Cohen D,Small,Large,Small,0.0
M100-C010_CRA_A Cliff's delta,-0.1,0.65,0.01,0.0
